"Ordenacao"	"Algoritmo"	"Tamanho"	"Tempo"	"Trocas"	"Comparacoes"
"Crescente"	"bubbleSort"	1000	0.335	0	999
"Crescente"	"bubbleSort"	5000	1.675	0	4999
"Crescente"	"bubbleSort"	10000	8.788	0	9999
"Crescente"	"bubbleSort"	15000	2.082	0	14999
"Crescente"	"bubbleSort"	20000	0.174	0	19999
"Crescente"	"bubbleSort"	25000	0.161	0	24999
"Crescente"	"bubbleSort"	30000	0.176	0	29999
"Crescente"	"bubbleSort"	35000	0.276	0	34999
"Crescente"	"bubbleSort"	40000	0.302	0	39999
"Crescente"	"bubbleSort"	45000	0.153	0	44999
"Crescente"	"bubbleSort"	50000	0.291	0	49999
"Crescente"	"shellSort"	1000	6.172	8006	0
"Crescente"	"shellSort"	5000	22.477	55005	0
"Crescente"	"shellSort"	10000	17.426	120005	0
"Crescente"	"shellSort"	15000	5.624	180007	0
"Crescente"	"shellSort"	20000	25.049	260005	0
"Crescente"	"shellSort"	25000	2.57	325006	0
"Crescente"	"shellSort"	30000	4.114	390007	0
"Crescente"	"shellSort"	35000	8.8	490006	0
"Crescente"	"shellSort"	40000	5.662	560005	0
"Crescente"	"shellSort"	45000	3.522	630009	0
"Crescente"	"shellSort"	50000	3.981	700006	0
"Crescente"	"heapSort"	1000	6.736	8717	17434
"Crescente"	"heapSort"	5000	1.937	55812	111624
"Crescente"	"heapSort"	10000	18.087	121766	243532
"Crescente"	"heapSort"	15000	3.172	190455	380910
"Crescente"	"heapSort"	20000	12.041	262656	525312
"Crescente"	"heapSort"	25000	8.352	336373	672746
"Crescente"	"heapSort"	30000	8.542	410154	820308
"Crescente"	"heapSort"	35000	115.409	486320	972640
"Crescente"	"heapSort"	40000	21.642	565486	1130972
"Crescente"	"heapSort"	45000	39.026	644725	1289450
"Crescente"	"heapSort"	50000	27.934	723849	1447698
"Crescente"	"mergeSort"	1000	7.559	5044	5044
"Crescente"	"mergeSort"	5000	4.742	32004	32004
"Crescente"	"mergeSort"	10000	4.958	69008	69008
"Crescente"	"mergeSort"	15000	4.145	106364	106364
"Crescente"	"mergeSort"	20000	5.479	148016	148016
"Crescente"	"mergeSort"	25000	10.74	188476	188476
"Crescente"	"mergeSort"	30000	13.204	227728	227728
"Crescente"	"mergeSort"	35000	16.319	269364	269364
"Crescente"	"mergeSort"	40000	22.529	316032	316032
"Crescente"	"mergeSort"	45000	31.601	360124	360124
"Crescente"	"mergeSort"	50000	33.058	401952	401952
"Crescente"	"quickSort"	1000	1.715	1	10466
"Crescente"	"quickSort"	5000	4.633	12	63880
"Crescente"	"quickSort"	10000	0.477	49	137810
"Crescente"	"quickSort"	15000	1.069	76	215576
"Crescente"	"quickSort"	20000	0.999	160	295744
"Crescente"	"quickSort"	25000	1.266	215	376355
"Crescente"	"quickSort"	30000	1.621	336	461515
"Crescente"	"quickSort"	35000	2.278	476	546795
"Crescente"	"quickSort"	40000	2.141	609	632059
"Crescente"	"quickSort"	45000	6.429	730	717387
"Crescente"	"quickSort"	50000	22.641	763	803483
"Decrescente"	"bubbleSort"	1000	29.377	499498	499500
"Decrescente"	"bubbleSort"	5000	45.818	12497486	12497500
"Decrescente"	"bubbleSort"	10000	212.036	49994946	49995000
"Decrescente"	"bubbleSort"	15000	342.805	112492403	112492500
"Decrescente"	"bubbleSort"	20000	713.368	199989820	199990000
"Decrescente"	"bubbleSort"	25000	1148.975	312487190	312487500
"Decrescente"	"bubbleSort"	30000	1595.432	449984526	449985000
"Decrescente"	"bubbleSort"	35000	2368.133	612481875	612482500
"Decrescente"	"bubbleSort"	40000	3117.296	799979223	799980000
